Date,Open,High,Low,Close,AdjClose,Volume,SMAOpen,SMAHigh,SMALow,SMAClose,SMAAdjClose,SMAVolumeI
2020-07-06,1805.00,1858.00,1792.10,1851.80,1845.86,21697962.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-07,1860.00,1864.35,1806.30,1823.45,1817.60,16239990.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-08,1824.05,1834.95,1790.00,1798.00,1792.23,12093186.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-09,1809.00,1835.00,1786.25,1824.25,1818.40,16807336.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-10,1828.50,1884.60,1824.25,1878.05,1872.03,20195218.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-13,1903.35,1947.70,1900.00,1935.00,1928.80,32124262.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-14,1934.00,1941.70,1887.30,1917.00,1910.85,31073305.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-15,1937.95,1978.80,1798.00,1844.00,1838.09,64457578.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-16,1847.00,1869.00,1812.45,1843.40,1837.49,28133826.00,0.00,0.00,0.00,0.00,0.00,0.00
2020-07-17,1845.00,1920.00,1838.00,1911.70,1905.57,22948894.00,1859.38,1893.41,1823.47,1862.67,1856.69,26577155.70
2020-07-20,1917.80,1932.00,1899.65,1919.90,1913.74,16887635.00,1870.67,1900.81,1834.22,1869.47,1863.48,26096123.00
2020-07-21,1939.00,1977.00,1936.50,1971.55,1965.23,19463004.00,1878.57,1912.07,1847.24,1884.29,1878.24,26418424.40
2020-07-22,1983.00,2010.00,1960.70,2004.00,1997.57,27584518.00,1894.46,1929.58,1864.31,1904.89,1898.78,27967557.60
2020-07-23,2003.95,2079.70,1991.35,2057.80,2051.20,26921017.00,1913.95,1954.05,1884.82,1928.24,1922.06,28978925.70
2020-07-24,2058.00,2163.00,2057.80,2146.15,2139.27,55655668.00,1936.90,1981.89,1908.18,1955.05,1948.78,32524970.70
2020-07-27,2178.80,2198.80,2127.90,2156.20,2149.29,37060665.00,1964.45,2007.00,1930.96,1977.17,1970.83,33018611.00
2020-07-28,2156.20,2194.00,2150.65,2177.70,2170.72,25435297.00,1986.67,2032.23,1957.30,2003.24,1996.82,32454810.20
2020-07-29,2177.90,2182.80,2070.45,2096.65,2089.93,33534147.00,2010.66,2052.63,1984.54,2028.50,2022.00,29362467.10
2020-07-30,2099.00,2139.70,2072.00,2108.85,2102.09,33623699.00,2035.86,2079.70,2010.50,2055.05,2048.46,29911454.40
2020-07-31,2114.50,2129.00,2052.80,2067.10,2060.47,34593133.00,2062.81,2100.60,2031.98,2070.59,2063.95,31075878.30
2020-08-03,2051.30,2057.00,2003.10,2009.00,2002.56,21559142.00,2076.16,2113.10,2042.32,2079.50,2072.83,31543029.00
2020-08-04,2020.60,2167.00,2000.25,2150.60,2143.70,42476932.00,2084.32,2132.10,2048.70,2097.41,2090.68,33844421.80
2020-08-05,2169.00,2196.00,2118.30,2126.45,2119.63,34404810.00,2102.92,2150.70,2064.46,2109.65,2102.89,34526451.00
2020-08-06,2157.00,2167.70,2107.80,2134.10,2127.26,22762545.00,2118.23,2159.50,2076.10,2117.28,2110.49,34110603.80
2020-08-07,2129.80,2157.80,2120.20,2146.45,2139.57,15222303.00,2125.41,2158.98,2082.34,2117.31,2110.52,30067267.30
2020-08-10,2159.10,2165.00,2108.10,2119.85,2113.05,12441573.00,2123.44,2155.60,2080.37,2113.68,2106.90,27605358.10
2020-08-11,2134.80,2160.00,2100.35,2133.80,2126.96,21611256.00,2121.30,2152.20,2075.34,2109.29,2102.52,27222954.00
2020-08-12,2121.00,2145.00,2106.80,2127.60,2120.78,13967116.00,2115.61,2148.42,2078.97,2112.38,2105.61,25266250.90
2020-08-13,2128.00,2138.90,2110.00,2122.05,2115.25,11459190.00,2118.51,2148.34,2082.77,2113.70,2106.92,23049800.00
2020-08-14,2122.55,2157.00,2089.25,2113.80,2107.02,15333164.00,2119.32,2151.14,2086.42,2118.37,2111.58,21123803.10
2020-08-17,2105.00,2105.00,2070.10,2091.35,2084.64,14296834.00,2124.69,2155.94,2093.12,2126.61,2119.79,20397572.30
2020-08-18,2085.00,2134.30,2082.35,2118.55,2111.76,14097746.00,2131.13,2152.67,2101.33,2123.40,2116.59,17559653.70
2020-08-19,2141.00,2154.00,2121.35,2131.55,2124.72,15731396.00,2128.33,2148.47,2101.63,2123.91,2117.10,15692312.30
2020-08-20,2120.00,2123.90,2088.00,2097.05,2090.33,10401212.00,2124.63,2144.09,2099.65,2120.21,2113.41,14456179.00
2020-08-21,2118.00,2122.00,2077.00,2081.85,2075.17,11667129.00,2123.45,2140.51,2095.33,2113.75,2106.97,14100661.60
2020-08-24,2091.40,2104.50,2070.50,2095.75,2089.03,15098991.00,2116.68,2134.46,2091.57,2111.34,2104.56,14366403.40
2020-08-25,2106.00,2111.30,2078.00,2082.10,2075.42,8947563.00,2113.79,2129.59,2089.34,2106.17,2099.41,13100034.10
2020-08-26,2085.00,2147.95,2047.00,2137.30,2130.45,27630190.00,2110.19,2129.88,2083.36,2107.14,2100.38,14466341.50
2020-08-27,2148.00,2150.00,2103.25,2110.60,2103.83,12961252.00,2112.19,2130.99,2082.68,2105.99,2099.24,14616547.70
2020-08-28,2120.00,2132.90,2106.25,2116.15,2109.36,12537520.00,2111.94,2128.58,2084.38,2106.23,2099.47,14336983.30
2020-08-31,2174.00,2174.00,2060.35,2080.70,2074.03,28648125.00,2118.84,2135.48,2083.41,2105.16,2098.41,15772112.40
2020-09-01,2100.00,2122.40,2062.40,2087.25,2080.56,17821397.00,2120.34,2134.29,2081.41,2102.03,2095.29,16144477.50
2020-09-02,2092.00,2138.00,2085.00,2128.20,2121.38,12437162.00,2115.44,2132.69,2077.78,2101.70,2094.96,15815054.10
2020-09-03,2128.00,2138.75,2103.00,2112.10,2105.33,8577634.00,2116.24,2134.18,2079.28,2103.20,2096.46,15632696.30
2020-09-04,2083.55,2096.95,2072.20,2077.25,2070.59,13141644.00,2112.79,2131.67,2078.79,2102.74,2096.00,15780147.80
2020-09-07,2084.00,2105.75,2044.25,2082.65,2075.97,10119064.00,2112.06,2131.80,2076.17,2101.43,2094.69,15282155.10
2020-09-08,2092.00,2121.00,2080.50,2107.10,2100.34,12643749.00,2110.66,2132.77,2076.42,2103.93,2097.18,15651773.70
2020-09-09,2085.00,2167.80,2081.45,2161.35,2154.42,25525961.00,2110.66,2134.75,2079.86,2106.34,2099.58,15441350.80
2020-09-10,2183.10,2344.95,2175.35,2314.00,2306.58,64750460.00,2114.17,2154.25,2087.07,2126.68,2119.86,20620271.60
2020-09-11,2312.00,2337.85,2287.10,2319.75,2312.31,27445768.00,2133.37,2174.74,2105.16,2147.04,2140.15,22111096.40
2020-09-14,2325.00,2360.00,2282.00,2302.55,2295.17,20335273.00,2148.47,2193.34,2127.32,2169.22,2162.26,21279811.20
2020-09-15,2311.95,2325.75,2288.15,2318.85,2311.41,12542824.00,2169.66,2213.68,2149.90,2192.38,2185.35,20751953.90
2020-09-16,2320.00,2369.35,2310.55,2324.55,2317.10,15668979.00,2192.46,2236.82,2172.46,2212.02,2204.92,21075135.60
2020-09-17,2320.00,2333.70,2291.85,2298.75,2291.38,11919927.00,2211.66,2256.31,2191.34,2230.68,2223.53,21409364.90
2020-09-18,2314.25,2319.45,2276.55,2305.70,2298.31,15264068.00,2234.73,2278.56,2211.78,2253.53,2246.30,21621607.30
2020-09-21,2300.00,2336.00,2247.35,2255.85,2248.62,15519031.00,2256.33,2301.59,2232.09,2270.85,2263.56,22161604.00
2020-09-22,2277.00,2277.00,2201.55,2211.15,2204.06,16056620.00,2274.83,2317.19,2244.19,2281.25,2273.93,22502891.10
2020-09-23,2260.00,2276.75,2205.30,2230.80,2223.65,19839282.00,2292.33,2328.08,2256.58,2288.20,2280.86,21934223.20
2020-09-24,2207.90,2226.00,2176.05,2181.20,2174.21,13764841.00,2294.81,2316.19,2256.65,2274.92,2267.62,16835661.30
2020-09-25,2189.00,2212.80,2167.30,2201.70,2194.64,13095028.00,2282.51,2303.68,2244.67,2263.11,2255.85,15400587.30
2020-09-28,2227.00,2238.00,2207.05,2216.25,2209.14,9076248.00,2272.71,2291.48,2237.17,2254.48,2247.25,14274684.80
2020-09-29,2225.00,2264.00,2216.25,2245.05,2237.85,11926328.00,2264.01,2285.31,2229.98,2247.10,2239.89,14213035.20
2020-09-30,2260.00,2267.00,2225.00,2234.35,2227.19,11290667.00,2258.01,2275.07,2221.43,2238.08,2230.90,13775204.00
2020-10-01,2263.80,2263.80,2214.00,2225.25,2218.11,9591456.00,2252.39,2268.08,2213.64,2230.73,2223.58,13542356.90
2020-10-05,2244.00,2249.15,2206.00,2212.20,2205.11,8732869.00,2245.37,2261.05,2206.59,2221.38,2214.26,12889237.00
2020-10-06,2225.25,2233.90,2201.65,2210.35,2203.26,8497216.00,2237.89,2250.84,2202.02,2216.83,2209.72,12187055.50
2020-10-07,2235.00,2309.00,2220.00,2257.50,2250.26,24538346.00,2233.69,2254.04,2203.86,2221.47,2214.34,13035228.10
2020-10-08,2259.00,2268.00,2222.10,2239.25,2232.07,9727405.00,2233.59,2253.16,2205.54,2222.31,2215.18,12024040.40
2020-10-09,2235.00,2253.00,2217.10,2233.45,2226.29,8558745.00,2236.31,2255.86,2209.65,2227.54,2220.39,11503430.80
2020-10-12,2235.00,2255.75,2226.25,2237.05,2229.88,6565515.00,2240.91,2260.16,2215.54,2231.07,2223.92,10850479.50
